region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn
1,26,29,1,3,77.00,4,2,0,0,4,0,1,1,1,6.70,0.00,48.10,24.25,38.30,140.95,0.00,"1,132.80",610.00,910.10,1,1,0,1,1,1,1,1,1,4,1
3,6,30,0,7,16.00,3,1,0,1,1,0,1,0,1,3.75,0.00,33.80,0.00,18.70,25.65,0.00,175.30,0.00,78.20,1,0,1,1,0,1,0,0,0,2,1
1,68,52,1,17,120.00,1,24,0,0,2,0,0,1,0,20.70,0.00,0.00,22.00,0.00,"1,391.05",0.00,0.00,"1,505.00",0.00,0,0,0,0,0,0,1,0,0,1,0
3,53,33,0,10,101.00,5,4,0,1,2,0,1,1,1,5.30,0.00,49.60,26.75,51.40,253.35,0.00,"2,499.80","1,340.00","2,645.15",1,1,0,1,0,1,1,1,1,4,0
3,55,48,1,19,67.00,1,25,0,0,3,0,0,1,0,15.05,0.00,0.00,27.25,0.00,810.45,0.00,0.00,"1,390.00",0.00,0,0,0,0,0,0,0,0,0,1,0
3,14,43,1,18,36.00,1,5,0,0,5,1,0,1,0,12.50,19.75,0.00,18.00,0.00,153.75,273.75,0.00,215.00,0.00,0,0,0,0,1,1,1,1,0,3,0
2,1,21,0,0,33.00,2,0,0,1,3,1,0,1,0,2.20,20.75,0.00,40.50,0.00,2.20,20.75,0.00,40.50,0.00,0,0,0,0,0,1,1,1,0,3,0
2,42,40,0,7,37.00,2,8,0,1,1,1,1,1,1,8.25,23.50,36.90,28.00,37.40,399.15,950.65,"1,532.90","1,190.00","1,562.00",1,1,0,1,1,1,0,1,1,4,0
3,25,33,1,11,31.00,1,5,0,0,4,0,0,0,0,9.10,0.00,0.00,0.00,0.00,234.95,0.00,0.00,0.00,0.00,1,0,0,0,1,0,1,0,0,3,0
1,9,21,1,1,17.00,2,2,0,1,3,0,0,0,0,2.90,0.00,0.00,0.00,0.00,25.25,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0
2,13,33,1,9,19.00,4,0,0,1,2,0,1,0,0,5.55,0.00,27.35,0.00,0.00,75.25,0.00,330.65,0.00,0.00,1,0,0,1,0,0,0,1,1,2,0
1,56,37,1,6,36.00,1,13,0,1,2,0,1,1,0,10.60,0.00,31.10,18.25,0.00,582.60,0.00,"1,756.35","1,005.00",0.00,1,0,0,1,0,0,0,0,1,2,0
1,71,53,1,27,155.00,5,12,0,0,2,1,0,1,1,21.00,56.00,0.00,34.00,49.95,"1,519.20","4,064.30",0.00,"2,345.00","3,646.90",1,1,0,1,0,0,1,1,1,4,0
1,35,50,1,26,140.00,2,21,0,1,4,1,0,1,0,6.50,27.50,0.00,35.00,0.00,247.55,"1,068.25",0.00,"1,215.00",0.00,0,0,0,0,0,1,1,1,0,3,0
1,11,27,1,8,55.00,5,0,0,0,3,0,1,0,0,4.80,0.00,19.55,0.00,0.00,54.10,0.00,220.40,0.00,0.00,1,0,0,1,0,0,0,0,0,2,0
2,60,46,1,13,163.00,3,24,0,0,2,1,1,1,1,33.90,38.25,44.65,13.75,55.25,"1,947.95","2,326.35","2,645.85",840.00,"3,125.95",1,1,1,1,0,1,1,1,1,4,0
3,20,35,1,11,52.00,4,0,0,0,2,0,1,0,0,4.25,0.00,30.55,0.00,0.00,82.70,0.00,547.15,0.00,0.00,1,0,0,1,0,0,0,0,1,2,1
2,54,60,0,38,211.00,4,25,0,0,1,1,1,1,1,21.15,39.25,46.35,54.25,54.85,"1,228.70","2,102.25","2,421.30","2,785.00","2,895.85",1,1,1,1,1,0,0,1,1,4,0
1,44,57,1,1,186.00,2,17,0,0,2,1,0,1,1,9.80,33.50,0.00,36.00,41.65,428.25,"1,379.55",0.00,"1,535.00","1,826.70",1,1,0,0,1,1,1,1,0,3,0
1,11,41,1,0,39.00,1,1,0,1,2,1,0,1,0,6.55,29.25,0.00,19.75,0.00,67.80,303.65,0.00,200.00,0.00,0,1,0,0,1,1,1,1,0,3,1
2,72,57,0,34,22.00,2,35,1,1,1,1,0,1,0,41.75,49.00,0.00,18.75,0.00,"3,043.05","3,581.00",0.00,"1,360.00",0.00,1,0,0,0,1,1,1,1,0,3,0
3,10,41,0,7,30.00,1,7,0,0,1,1,0,1,0,2.50,19.25,0.00,53.75,0.00,31.25,178.20,0.00,490.00,0.00,0,0,0,0,1,1,1,1,0,3,0
2,15,28,0,0,29.00,2,4,0,1,1,1,0,1,0,4.25,30.00,0.00,17.75,0.00,78.00,426.05,0.00,255.00,0.00,0,0,0,0,1,1,1,1,0,3,0
2,27,28,1,4,23.00,2,8,0,0,5,0,0,0,0,6.20,0.00,0.00,0.00,0.00,180.15,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,1,0
1,9,36,1,14,62.00,4,10,0,0,6,0,1,0,1,5.65,0.00,46.75,0.00,48.50,43.30,0.00,386.60,0.00,364.85,1,1,1,1,0,0,0,1,1,4,1
1,64,43,1,20,76.00,4,20,0,1,4,1,0,1,0,14.70,18.75,0.00,11.00,0.00,897.05,"1,279.25",0.00,680.00,0.00,1,0,0,0,1,1,0,1,0,3,0
1,65,41,1,3,74.00,4,16,0,0,2,0,1,1,0,14.50,0.00,37.00,17.00,0.00,963.30,0.00,"2,263.05","1,065.00",0.00,1,1,0,1,0,0,0,0,1,2,0
1,49,51,1,27,63.00,4,19,0,0,5,1,0,1,0,12.85,25.75,0.00,14.25,0.00,585.60,"1,278.45",0.00,635.00,0.00,1,0,0,1,0,1,0,0,1,2,0
3,47,41,1,0,36.00,4,8,0,0,2,0,1,1,1,7.75,0.00,37.45,18.50,38.80,361.00,0.00,"1,717.75",845.00,"1,730.40",1,0,1,1,0,1,0,1,1,4,1
3,9,34,1,9,33.00,2,8,0,1,4,0,1,0,0,2.95,0.00,22.95,0.00,0.00,18.90,0.00,208.55,0.00,0.00,0,0,0,0,0,0,0,0,0,1,1
1,5,36,0,14,29.00,2,9,0,1,1,1,0,1,1,3.25,31.50,0.00,15.50,26.75,16.80,154.65,0.00,60.00,98.60,0,0,0,1,1,1,1,1,1,3,1
2,30,34,1,4,27.00,2,1,0,0,5,0,1,0,0,6.30,0.00,22.50,0.00,0.00,150.90,0.00,690.75,0.00,0.00,0,0,0,1,0,0,0,0,0,1,1
1,56,52,1,28,49.00,2,12,0,0,4,0,0,1,0,24.75,0.00,0.00,22.25,0.00,"1,349.05",0.00,0.00,"1,215.00",0.00,1,0,0,0,0,0,0,0,0,2,0
3,10,22,0,0,24.00,4,0,0,0,1,1,1,1,1,7.80,23.75,37.25,22.50,30.05,63.00,222.55,330.40,185.00,306.30,1,1,1,1,1,1,1,1,1,4,0
1,7,26,1,3,26.00,2,2,0,0,5,1,0,0,0,4.85,15.50,0.00,0.00,0.00,33.70,136.55,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,1,0
1,52,27,0,6,47.00,3,5,0,0,2,1,0,1,0,6.25,18.50,0.00,14.25,0.00,330.40,942.65,0.00,725.00,0.00,0,0,0,0,1,0,0,0,1,1,0
2,36,45,1,1,94.00,2,18,0,1,5,1,1,0,0,7.20,15.75,28.35,0.00,0.00,258.75,553.80,"1,043.80",0.00,0.00,0,0,1,1,1,0,0,1,0,1,1
3,27,34,0,8,21.00,3,4,0,1,1,0,0,0,0,7.65,0.00,0.00,0.00,0.00,213.45,0.00,0.00,0.00,0.00,1,0,0,0,0,0,0,0,0,2,0
1,58,62,1,36,27.00,1,0,0,0,2,0,0,1,0,15.50,0.00,0.00,34.50,0.00,967.10,0.00,0.00,"1,910.00",0.00,0,0,0,0,0,0,0,0,0,1,0
2,41,52,0,27,30.00,2,2,0,1,1,1,0,1,1,10.40,28.00,0.00,19.00,27.50,447.85,"1,152.00",0.00,800.00,"1,036.65",0,0,0,0,1,1,1,1,0,3,0
2,47,40,1,16,127.00,4,12,0,1,4,0,1,1,0,19.70,0.00,28.15,14.75,0.00,909.90,0.00,"1,319.70",680.00,0.00,1,0,0,1,0,0,0,0,1,2,0
2,55,39,1,15,137.00,2,20,0,1,2,1,0,1,0,12.70,27.50,0.00,11.50,0.00,676.90,"1,505.20",0.00,620.00,0.00,0,1,0,0,1,1,1,1,0,3,1
2,56,50,1,1,80.00,2,24,0,1,4,1,0,1,1,28.80,55.50,0.00,21.25,61.10,"1,558.10","3,119.45",0.00,"1,065.00","3,268.05",1,1,1,0,1,1,1,1,0,4,0
3,35,55,0,24,30.00,2,2,0,0,1,0,0,1,0,10.25,0.00,0.00,15.75,0.00,395.85,0.00,0.00,550.00,0.00,0,0,0,0,0,0,0,0,0,1,0
2,69,51,1,11,438.00,4,23,0,1,2,0,1,1,0,29.00,0.00,47.05,24.75,0.00,"1,815.40",0.00,"3,064.15","1,655.00",0.00,1,0,1,1,1,0,0,1,0,4,0
2,44,39,0,16,79.00,2,16,0,0,1,1,1,1,1,15.25,24.50,37.45,27.25,30.05,653.70,"1,037.45","1,610.10","1,110.00","1,280.00",1,0,1,1,1,1,1,1,1,4,1
3,36,47,1,16,63.00,1,23,0,0,2,0,0,1,0,9.05,0.00,0.00,6.75,0.00,373.65,0.00,0.00,220.00,0.00,0,0,0,0,0,0,0,0,0,1,0
3,28,51,1,22,40.00,3,10,0,1,6,1,0,0,0,8.95,21.25,0.00,0.00,0.00,253.55,586.95,0.00,0.00,0.00,0,0,0,0,1,1,1,1,0,3,0
1,72,67,1,44,51.00,1,34,1,0,2,1,0,1,0,57.05,51.50,0.00,19.25,0.00,"4,168.25","3,657.90",0.00,"1,345.00",0.00,1,0,0,0,1,1,1,1,0,3,0
1,16,27,0,5,37.00,3,5,0,0,4,0,0,0,0,6.00,0.00,0.00,0.00,0.00,80.70,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0
3,3,43,0,19,61.00,4,11,0,1,1,0,1,1,1,3.15,0.00,27.25,16.25,17.95,7.90,0.00,53.25,20.00,38.20,0,0,0,1,1,0,0,1,1,1,1
1,40,57,1,15,22.00,2,9,0,0,2,0,0,1,0,8.55,0.00,0.00,19.75,0.00,381.50,0.00,0.00,710.00,0.00,0,0,0,0,0,0,0,0,0,1,0
3,16,39,0,6,44.00,4,3,0,1,1,0,1,0,0,6.60,0.00,23.30,0.00,0.00,96.30,0.00,350.15,0.00,0.00,1,0,0,1,0,0,0,0,1,2,0
1,20,42,0,4,17.00,3,5,0,0,1,0,0,0,0,7.80,0.00,0.00,0.00,0.00,175.85,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0
2,48,43,0,13,110.00,5,15,0,1,3,0,1,0,1,7.25,0.00,33.50,0.00,20.65,359.35,0.00,"1,572.70",0.00,"1,010.40",1,1,0,1,0,0,0,0,1,2,0
2,64,48,1,13,91.00,2,24,0,0,2,1,0,1,1,24.50,24.75,0.00,12.50,29.65,"1,531.90","1,569.25",0.00,780.00,"1,875.95",1,0,0,0,1,1,1,1,0,3,0
1,8,46,0,3,46.00,2,8,0,0,1,0,1,0,0,3.15,0.00,25.05,0.00,0.00,16.65,0.00,172.05,0.00,0.00,0,0,1,1,0,0,0,0,1,1,0
1,40,38,1,10,85.00,3,12,0,0,2,0,0,0,0,10.60,0.00,0.00,0.00,0.00,384.80,0.00,0.00,0.00,0.00,0,0,0,0,1,1,1,1,0,3,1
2,38,71,0,27,10.00,2,12,1,0,1,0,0,0,0,11.20,0.00,0.00,0.00,0.00,429.85,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1,0,1,0
1,67,68,0,28,244.00,1,47,0,1,1,1,0,1,0,30.25,30.25,0.00,30.75,0.00,"2,186.20","2,036.15",0.00,"2,105.00",0.00,0,1,0,0,1,1,1,1,0,3,0
1,26,42,0,0,80.00,4,15,0,1,1,1,1,1,1,7.85,44.00,49.60,10.50,43.75,196.65,"1,123.25","1,159.35",250.00,"1,176.55",1,1,1,1,1,1,1,1,1,4,0
3,41,34,1,15,83.00,5,1,0,1,2,1,0,1,0,8.90,33.75,0.00,5.75,0.00,379.55,"1,404.45",0.00,220.00,0.00,1,1,1,1,1,1,1,1,0,4,0
2,2,31,0,2,21.00,1,6,0,0,1,0,1,0,0,1.65,0.00,21.60,0.00,0.00,3.20,0.00,17.25,0.00,0.00,0,0,0,0,0,0,0,1,0,1,1
3,20,48,1,29,24.00,2,3,0,0,2,1,0,1,0,11.85,22.50,0.00,35.00,0.00,230.70,452.75,0.00,675.00,0.00,1,1,1,0,1,1,1,1,0,4,1
2,31,53,0,2,351.00,3,31,0,1,1,1,0,1,0,5.50,31.50,0.00,19.25,0.00,185.30,"1,009.90",0.00,585.00,0.00,0,0,1,0,1,1,1,1,0,3,0
2,45,52,1,4,169.00,4,29,0,1,4,0,1,1,0,14.65,0.00,40.45,14.25,0.00,618.15,0.00,"1,820.40",690.00,0.00,1,0,0,1,0,0,0,0,0,2,0
2,33,27,1,7,46.00,2,7,0,0,4,0,1,0,0,7.25,0.00,29.15,0.00,0.00,243.35,0.00,923.85,0.00,0.00,0,0,0,0,0,0,0,0,1,1,0
1,10,26,0,6,34.00,3,3,0,0,1,0,1,0,0,4.85,0.00,27.70,0.00,0.00,41.85,0.00,223.05,0.00,0.00,1,0,0,0,0,0,0,0,0,2,0
2,62,54,1,2,50.00,4,3,0,0,2,0,1,1,1,17.25,0.00,48.00,87.50,33.25,"1,067.80",0.00,"2,864.15","5,455.00","2,022.55",1,1,1,1,1,0,1,0,1,4,1
2,4,35,0,16,161.00,5,6,0,1,1,1,1,0,1,3.40,23.75,49.80,0.00,35.75,10.35,103.10,126.95,0.00,135.25,0,1,1,1,1,1,1,1,1,4,1
1,42,47,1,17,212.00,4,17,0,0,2,1,0,1,0,7.45,26.75,0.00,24.75,0.00,320.90,"1,163.55",0.00,"1,035.00",0.00,0,0,0,0,1,1,1,0,0,3,0
3,27,51,1,3,80.00,5,11,0,0,3,0,1,0,0,7.10,0.00,39.40,0.00,0.00,176.20,0.00,"1,086.65",0.00,0.00,1,0,1,1,0,0,0,0,1,2,0
2,38,42,0,1,30.00,4,7,0,1,1,1,0,0,0,13.20,27.50,0.00,0.00,0.00,495.85,"1,087.90",0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,1,0
3,52,61,1,3,53.00,5,1,0,1,2,0,1,1,1,12.25,0.00,38.40,8.75,35.95,631.70,0.00,"1,884.10",465.00,"1,971.35",1,1,0,1,0,0,0,1,1,2,0
3,35,33,0,9,73.00,5,4,0,1,1,1,0,1,1,5.85,38.25,0.00,22.25,40.35,216.60,"1,337.60",0.00,700.00,"1,423.80",1,1,1,1,1,1,1,1,1,4,0
3,3,20,1,1,17.00,2,0,0,1,4,0,0,0,0,3.75,0.00,0.00,0.00,0.00,12.30,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1,1,1
2,17,33,0,9,23.00,5,3,0,0,1,0,1,1,1,10.20,0.00,36.40,14.50,30.90,196.30,0.00,570.90,220.00,529.25,1,1,0,1,1,1,0,0,1,4,1
1,55,53,1,21,34.00,1,8,0,0,2,0,0,0,0,5.70,0.00,0.00,0.00,0.00,304.40,0.00,0.00,0.00,0.00,0,0,0,0,0,1,1,1,0,3,0
3,43,36,1,5,107.00,1,19,0,1,3,1,0,1,0,11.55,12.75,0.00,21.50,0.00,491.55,583.75,0.00,910.00,0.00,1,0,0,0,0,0,0,0,0,2,1
2,47,25,1,5,21.00,1,1,0,1,2,1,0,1,0,8.65,30.50,0.00,9.00,0.00,426.60,"1,465.45",0.00,405.00,0.00,0,0,0,0,0,1,1,1,0,3,1
3,65,58,0,30,83.00,2,16,0,1,1,0,0,1,0,19.30,0.00,0.00,22.75,0.00,"1,323.20",0.00,0.00,"1,370.00",0.00,1,0,0,0,0,1,0,0,0,2,0
1,13,20,0,1,17.00,3,0,0,0,5,0,1,1,0,3.05,0.00,31.30,14.00,0.00,40.30,0.00,390.60,155.00,0.00,1,0,0,1,1,1,1,1,1,4,0
3,64,25,1,4,76.00,3,2,0,1,6,0,1,1,0,24.05,0.00,35.40,21.25,0.00,"1,536.55",0.00,"2,288.45","1,400.00",0.00,1,0,0,0,1,0,1,1,1,3,0
2,12,24,0,2,19.00,1,0,0,0,1,1,0,1,0,4.00,24.75,0.00,27.25,0.00,46.00,299.00,0.00,295.00,0.00,0,0,0,0,1,1,1,1,0,3,1
1,29,32,1,0,49.00,4,3,0,1,3,0,1,0,0,6.70,0.00,33.00,0.00,0.00,187.00,0.00,918.25,0.00,0.00,1,0,1,1,0,0,0,0,1,2,1
2,23,47,0,21,173.00,3,22,0,1,1,0,0,0,0,7.60,0.00,0.00,0.00,0.00,145.90,0.00,0.00,0.00,0.00,1,0,0,0,1,0,0,1,1,2,0
2,14,35,0,4,47.00,3,10,0,1,1,1,0,0,1,5.00,21.75,0.00,0.00,24.15,76.20,318.20,0.00,0.00,274.00,1,0,0,0,0,0,1,1,1,2,1
1,35,61,0,23,41.00,2,11,0,0,1,0,0,1,0,9.60,0.00,0.00,9.50,0.00,353.55,0.00,0.00,295.00,0.00,0,0,0,0,0,0,0,0,0,1,0
3,26,39,0,8,105.00,3,13,0,1,1,1,0,1,1,6.60,39.75,0.00,37.25,38.25,159.70,"1,022.45",0.00,"1,005.00",885.10,1,1,1,0,1,1,1,1,1,4,0
1,13,54,0,2,31.00,4,2,0,0,1,0,0,0,0,5.85,0.00,0.00,0.00,0.00,97.00,0.00,0.00,0.00,0.00,0,1,0,1,0,0,0,0,1,1,0
2,69,40,1,13,41.00,2,17,0,0,3,0,0,1,0,25.25,0.00,0.00,33.00,0.00,"1,725.10",0.00,0.00,"2,320.00",0.00,1,0,0,0,0,0,0,0,0,2,0
3,61,50,1,30,102.00,4,9,0,1,3,0,0,1,0,12.60,0.00,0.00,12.50,0.00,760.30,0.00,0.00,745.00,0.00,1,0,0,1,0,0,0,0,1,2,0
2,45,22,1,2,36.00,4,0,0,1,5,1,1,0,0,9.95,14.75,26.15,0.00,0.00,412.10,663.10,"1,180.50",0.00,0.00,1,0,0,0,0,0,0,0,0,2,1
2,3,37,0,13,24.00,1,3,0,1,1,0,0,0,0,2.00,0.00,0.00,0.00,0.00,3.05,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,1,1,1,0
2,53,22,0,1,25.00,4,0,0,0,2,0,1,1,0,12.05,0.00,27.15,6.50,0.00,666.00,0.00,"1,469.25",335.00,0.00,1,0,0,1,0,0,0,0,1,2,0
1,59,42,0,1,68.00,2,21,0,1,1,1,0,1,0,17.30,21.25,0.00,19.25,0.00,997.85,"1,183.55",0.00,"1,160.00",0.00,1,0,0,0,1,1,1,1,0,3,0
1,13,34,0,11,20.00,3,0,0,1,1,0,0,0,0,4.80,0.00,0.00,0.00,0.00,71.05,0.00,0.00,0.00,0.00,0,0,0,1,0,0,0,0,0,1,0
3,31,31,0,4,48.00,1,15,0,0,1,0,0,0,0,3.80,0.00,0.00,0.00,0.00,127.70,0.00,0.00,0.00,0.00,0,0,0,0,0,1,1,1,0,3,0
1,40,29,1,6,40.00,2,8,0,1,5,0,0,0,0,13.00,0.00,0.00,0.00,0.00,502.95,0.00,0.00,0.00,0.00,0,0,0,0,0,1,1,1,0,3,0
1,48,55,0,15,79.00,1,25,0,0,1,0,0,1,0,13.80,0.00,0.00,25.50,0.00,668.65,0.00,0.00,"1,140.00",0.00,0,0,0,0,1,1,1,1,0,3,0
3,3,31,0,1,28.00,1,0,0,0,1,1,1,1,0,3.45,15.50,23.30,23.50,0.00,13.30,48.75,62.95,45.00,0.00,0,0,0,1,0,0,1,0,0,1,1
2,51,48,0,12,64.00,2,22,0,1,1,0,0,1,0,14.80,0.00,0.00,17.00,0.00,708.45,0.00,0.00,820.00,0.00,0,0,0,0,0,0,0,0,0,1,0
3,33,41,0,15,37.00,2,11,0,0,1,0,0,0,0,12.20,0.00,0.00,0.00,0.00,415.05,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0
3,14,47,1,7,48.00,1,13,0,0,2,1,0,0,0,4.25,11.00,0.00,0.00,0.00,55.50,126.45,0.00,0.00,0.00,0,0,0,0,0,0,0,1,0,1,0
1,17,42,1,6,131.00,5,6,0,0,3,0,1,0,1,5.80,0.00,35.35,0.00,21.65,103.10,0.00,527.80,0.00,331.40,1,0,0,1,0,0,0,0,1,2,1
3,19,29,1,9,18.00,2,2,0,0,3,0,0,0,0,5.40,0.00,0.00,0.00,0.00,108.50,0.00,0.00,0.00,0.00,0,0,0,1,0,0,1,0,1,1,1
2,58,36,0,10,38.00,2,14,0,1,1,0,0,1,0,10.15,0.00,0.00,17.75,0.00,538.65,0.00,0.00,"1,030.00",0.00,1,0,0,0,0,0,0,0,0,2,0
3,22,23,0,3,37.00,2,4,0,1,3,0,1,1,1,5.35,0.00,28.10,9.00,24.70,144.05,0.00,602.20,200.00,503.50,0,1,0,1,1,0,0,1,1,4,0
2,29,31,1,1,60.00,4,6,0,0,5,0,1,0,0,9.60,0.00,26.75,0.00,0.00,243.90,0.00,730.80,0.00,0.00,1,0,0,1,0,0,0,0,1,2,1
3,14,22,1,2,13.00,3,0,0,1,4,0,1,0,0,9.45,0.00,26.85,0.00,0.00,117.55,0.00,364.10,0.00,0.00,1,0,0,1,0,0,0,0,0,2,1
2,70,64,1,18,98.00,1,31,0,1,2,1,0,1,1,26.15,84.00,0.00,11.25,45.45,"1,805.10","5,850.25",0.00,720.00,"3,243.25",1,1,1,0,1,1,1,1,0,4,0
1,62,52,1,2,195.00,1,23,0,0,2,1,0,1,1,23.15,36.75,0.00,36.00,34.30,"1,420.95","2,308.25",0.00,"2,205.00","2,082.80",1,0,0,0,0,0,1,1,0,3,1
2,7,35,1,0,47.00,1,14,0,0,5,0,0,0,0,5.20,0.00,0.00,0.00,0.00,46.90,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,1
1,56,47,1,19,65.00,2,22,0,0,3,1,0,1,1,12.40,48.75,0.00,36.50,58.40,744.45,"2,695.95",0.00,"2,070.00","3,084.20",0,1,1,0,1,1,1,1,0,4,0
1,50,50,1,22,150.00,5,5,0,1,4,0,1,1,0,19.30,0.00,33.40,50.75,0.00,930.80,0.00,"1,719.40","2,585.00",0.00,1,1,0,1,0,0,1,0,1,2,1
2,57,39,0,6,106.00,5,8,0,0,1,1,1,1,1,9.05,24.25,41.85,12.25,39.60,568.15,"1,486.35","2,291.35",740.00,"2,183.95",1,0,1,0,1,1,1,1,0,3,0
3,2,40,0,19,51.00,4,14,0,1,1,0,0,0,0,4.25,0.00,0.00,0.00,0.00,6.80,0.00,0.00,0.00,0.00,0,1,0,1,0,0,0,0,1,1,0
2,40,38,0,17,96.00,4,0,0,1,1,0,0,0,0,9.30,0.00,0.00,0.00,0.00,316.05,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0
2,6,43,0,4,33.00,5,7,0,0,2,0,0,1,1,4.25,0.00,0.00,16.25,26.75,30.00,0.00,0.00,85.00,146.55,1,0,1,0,1,1,1,1,0,3,0
3,23,25,1,6,38.00,2,1,0,1,3,1,1,1,0,13.90,23.25,28.50,3.75,0.00,255.00,574.85,621.25,65.00,0.00,1,0,1,0,0,1,1,0,0,3,0
3,11,32,0,6,125.00,4,5,0,0,1,1,1,1,1,3.80,19.25,61.45,19.00,58.25,31.75,233.40,578.60,200.00,577.70,1,1,1,1,1,1,1,1,1,4,1
1,29,37,1,13,145.00,5,0,0,1,4,1,1,1,1,8.60,24.00,41.15,17.75,28.00,241.45,713.45,"1,201.40",495.00,722.80,0,1,1,1,1,1,1,1,0,4,0
1,42,44,1,2,99.00,2,21,0,0,3,1,0,1,0,22.05,34.75,0.00,9.75,0.00,841.55,"1,501.55",0.00,395.00,0.00,1,0,0,0,0,1,0,1,0,3,0
